"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",63.577,-64.1,27.81,68,0.099977,1283,1.60375,0,202.1,23.8,1.60375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.6,23.6,1.65375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.3,23.5,1.70375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.6,23.4,1.75375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.6,23.2,1.80375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.3,23.2,1.85375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.7,23.1,1.90375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.9,23,1.95375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.9,22.9,2.00375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.8,22.9,2.05375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.5,22.8,2.10375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.1,22.8,2.15375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.8,22.8,2.20375,2158.29168550214,0.403719667820912
NA,NA,NA,NA,NA,NA,NA,NA,0.65,234.4,22.7,2.25375,2158.29168550214,0.403719667820912
