"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",65.353,-59.5,24.63,69,0.099977,1253,1.56625,0,202.2,23.4,1.56625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.5,23.1,1.61625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.1,208.8,23,1.66625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.15,212.2,23,1.71625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216,22.9,1.76625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.3,22.8,1.81625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.3,220.6,22.7,1.86625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.35,222.2,22.6,1.91625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.4,224.9,22.5,1.96625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227,22.4,2.01625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.7,22.3,2.06625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.55,229.8,22.2,2.11625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.6,231.5,22.2,2.16625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.65,233.1,22.1,2.21625,2022.13302552808,0.402944728267165
NA,NA,NA,NA,NA,NA,NA,NA,0.7,234.2,22.1,2.26625,2022.13302552808,0.402944728267165
