"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",64.369,-61.8,19.87,70,0.099977,1072,1.34,0,202.1,23.9,1.34,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.1,23.8,1.39,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210,23.7,1.44,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.4,23.6,1.49,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.3,23.4,1.54,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.9,23.2,1.59,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.3,23,1.64,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.4,22.9,1.69,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.4,22.8,1.74,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.2,22.7,1.79,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.9,22.6,1.84,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.55,230.5,22.5,1.89,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232,22.5,1.94,1696.32763091928,0.403544717518655
NA,NA,NA,NA,NA,NA,NA,NA,0.65,233.4,22.4,1.99,1696.32763091928,0.403544717518655
