"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",66.635,-67,27.8,68,0.099977,1360,1.7,0,201.9,24,1.7,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.05,205.7,23.8,1.75,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.1,23.8,1.8,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.2,23.7,1.85,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.2,23.6,1.9,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.9,23.6,1.95,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.2,23.5,2,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.35,222.8,23.4,2.05,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.4,224.2,23.4,2.1,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.45,226.1,23.3,2.15,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.5,227.9,23.3,2.2,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.55,229.5,23.2,2.25,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.6,231.7,23.1,2.3,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.65,232.8,23,2.35,2169.20700258569,0.40277487956855
NA,NA,NA,NA,NA,NA,NA,NA,0.7,233.9,23,2.4,2169.20700258569,0.40277487956855
