"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",62.068,-61.3,22.22,70,0.099977,1044,1.305,0,202.5,23.3,1.305,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.9,23.2,1.355,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.7,23.1,1.405,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.9,22.9,1.455,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.9,22.8,1.505,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.6,22.8,1.555,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.3,222,22.7,1.605,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224.1,22.6,1.655,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226,22.5,1.705,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.9,22.3,1.755,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.6,22.2,1.805,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.2,22.2,1.855,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.6,22.1,1.905,1700.15855503228,0.402727110966299
NA,NA,NA,NA,NA,NA,NA,NA,0.65,234,22,1.955,1700.15855503228,0.402727110966299
