Date.Processed,Analyst,X.Sample.ID,X.Sample.Tag,Date.Sampled,X.Type,X.434.nm,X.578.nm,X.730.nm,Dye,Salinity,Temperature,Real.Time.Temperature,a1a2,a1a2.2,slope,yintercept,a1a2corrected,pH_actual,pH_corrected
8/4/22,Shea, Blank, No Dye,8/4/22, Blank,0.0633,0.049,0.059,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA
8/4/22,Shea, CC - 1 - R1 - E, No Dye,6/7/22, Measurement 1,0.0752,0.0439,0.1189,0,27.57492,25,18.90446,1.273380065,1.257794809,-0.000194816,1.288965321,1.170282685,7.81154064,7.771770722
8/4/22,Shea, CC - 1 - R1 - E, mCP Added,6/7/22, Measurement 2,0.6613,0.7899,0.1201,80,27.57492,25,18.90446,NA,NA,NA,NA,NA,NA,NA
8/4/22,Shea, CC - 1 - R1 - E, mCP 2 Added,6/7/22, Measurement 3,1.2342,1.5108,0.1189,160,27.57492,25,18.90446,NA,NA,NA,NA,NA,NA,NA
8/4/22,Shea, CC - 1 - R2 - C, No Dye,6/7/22, Measurement 1,0.0965,0.0611,0.1325,0,27.57492,25,18.90446,1.278891116,1.253889554,-0.00031252,1.303892677,1.174611676,7.813581609,7.773504886
8/4/22,Shea, CC - 1 - R2 - C, mCP Added,6/7/22, Measurement 2,0.6952,0.8268,0.1324,80,27.57492,25,18.90446,NA,NA,NA,NA,NA,NA,NA
8/4/22,Shea, CC - 1 - R2 - C, mCP 2 Added,6/7/22, Measurement 3,1.2794,1.5595,0.1317,160,27.57492,25,18.90446,NA,NA,NA,NA,NA,NA,NA
8/5/22,MJ Jain, TRIS - R1 - G, No Dye,8/4/22, Measurement 1,0.0384,0.0249,0.1132,0,35,25,25,2.459324722,2.420703839,-0.000482761,2.497945606,2.259584055,8.117626471,8.074679353
8/5/22,MJ Jain, TRIS - R1 - G, mCP Added,8/4/22, Measurement 2,0.4815,1.112,0.115,80,35,25,25,NA,NA,NA,NA,NA,NA,NA
8/5/22,MJ Jain, TRIS - R1 - G, mCP 2 Added,8/4/22, Measurement 3,0.9197,2.1719,0.1156,160,35,25,25,NA,NA,NA,NA,NA,NA,NA
8/5/22,MJ Jain, CC - 2 - R1 - D, No Dye,6/7/22, Measurement 1,0.0731,0.0341,0.1178,0,26.89061,25,20.52518,1.198377711,1.181060353,-0.000216467,1.215695069,1.101142858,7.784364723,7.744675557
8/5/22,MJ Jain, CC - 2 - R1 - D, mCP Added,6/7/22, Measurement 2,0.6401,0.7136,0.1177,80,26.89061,25,20.52518,NA,NA,NA,NA,NA,NA,NA
8/5/22,MJ Jain, CC - 2 - R1 - D, mCP 2 Added,6/7/22, Measurement 3,1.2402,1.4223,0.118,160,26.89061,25,20.52518,NA,NA,NA,NA,NA,NA,NA
