"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",62.639,-58.8,4.47,70,0.099977,976,1.22,0,202.3,24.1,1.22,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.05,207.1,24,1.27,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.1,211.2,23.9,1.32,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.15,214.7,23.8,1.37,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.2,217.7,23.8,1.42,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.25,220.5,23.7,1.47,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.3,223,23.7,1.52,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.35,225.3,23.6,1.57,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.4,227.3,23.6,1.62,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.45,229.3,23.5,1.67,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.5,231,23.5,1.72,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.55,232.7,23.5,1.77,1593.86797788699,0.404889172692132
NA,NA,NA,NA,NA,NA,NA,NA,0.6,234.2,23.4,1.82,1593.86797788699,0.404889172692132
