DateTime.Sampled,Site,Week,Sample,Sample.Replicate,Salinity,Temperature,Real.Time.Temperature,Tidal_Depth_ft,pH_actual,pH_corrected,pH_corrected_average,pH_corrected_st.dev,TAlk_measured,TAlk_measured_average,TAlk_calculated_2022,TAlk_calculated_1980
6/6/22 8:35,EOS Center,1,1,R1,29.95956,25,16.53773,1.7,7.673977959,7.634909475,7.637032907,0.003002986,2219.89087,2214.006665,2195.373746,2147.398236
6/6/22 8:35,EOS Center,1,1,R2,29.95956,25,16.53773,1.7,7.678377039,7.639156338,7.637032907,,2208.12246,2214.006665,2195.373746,2147.398236
6/6/22 9:33,EOS Center,1,2,R1,29.90913,25,16.80469,0.9,7.696578981,7.657281795,7.655564772,0.002428237,2185.67851,2206.245145,2193.969271,2145.774895
6/6/22 9:33,EOS Center,1,2,R2,29.90913,25,16.80469,0.9,7.693156655,7.653847749,7.655564772,,2226.81178,2206.245145,2193.969271,2145.774895
6/6/22 10:28,EOS Center,1,3,R1,29.29717,25,17.0092,0.4,7.704140861,7.664778117,7.664905351,0.000179935,2189.78736,2190.12247,2176.926185,2126.075902
6/6/22 10:28,EOS Center,1,3,R2,29.29717,25,17.0092,0.4,7.704436104,7.665032584,7.664905351,,2190.45758,2190.12247,2176.926185,2126.075902
6/6/22 12:28,EOS Center,1,4,R1,28.84573,25,17.41942,0.3,7.724200252,7.684970492,7.68547869,0.000718701,2216.63759,2205.08963,2164.353581,2111.544049
6/6/22 12:28,EOS Center,1,4,R2,28.84573,25,17.41942,0.3,7.725414239,7.685986888,7.68547869,,2193.54167,2205.08963,2164.353581,2111.544049
6/6/22 13:30,EOS Center,1,5,R1,28.64717,25,17.60636,0.8,7.727305125,7.687866417,7.689297462,0.002023803,2146.11908,2144.97857,2158.823685,2105.152402
6/6/22 13:30,EOS Center,1,5,R2,28.64717,25,17.60636,0.8,7.730242032,7.690728506,7.689297462,,2143.83806,2144.97857,2158.823685,2105.152402
6/6/22 14:35,EOS Center,1,6,R1,28.71791,25,17.87505,1.6,7.731894864,7.69276658,7.694670856,0.002693053,2200.45409,2185.166755,2160.793794,2107.429523
6/6/22 14:35,EOS Center,1,6,R2,28.71791,25,17.87505,1.6,7.736013071,7.696575132,7.694670856,,2169.87942,2185.166755,2160.793794,2107.429523
6/23/22 11:28,EOS Center,2,7,R1,31.44275,25,16.24282,3,7.636762976,7.59743352,7.596301596,0.001600782,2246.58339,2223.86995,2236.680588,2195.142123
6/23/22 11:28,EOS Center,2,7,R2,31.44275,25,16.24282,3,7.633773355,7.595169672,7.596301596,,2201.15651,2223.86995,2236.680588,2195.142123
6/23/22 12:23,EOS Center,2,8,R1,31.03625,25,17.31529,2.4,7.66491778,7.625938035,7.628204823,0.003205722,2286.23974,2273.27425,2225.359563,2182.056888
6/23/22 12:23,EOS Center,2,8,R2,31.03625,25,17.31529,2.4,7.669491576,7.630471611,7.628204823,,2260.30876,2273.27425,2225.359563,2182.056888
6/23/22 13:23,EOS Center,2,9,R1,29.93469,25,18.87275,1.9,7.731103695,7.691942431,7.693378908,0.002031485,2180.6587,2207.81522,2194.681117,2146.597671
6/23/22 13:23,EOS Center,2,9,R2,29.93469,25,18.87275,1.9,7.734629565,7.694815384,7.693378908,,2234.97174,2207.81522,2194.681117,2146.597671
6/23/22 15:23,EOS Center,2,10,R1,30.0362,25,18.36998,1.9,7.712024605,7.672913949,7.671824334,0.001540949,2218.75658,2231.160965,2197.50817,2149.865278
6/23/22 15:23,EOS Center,2,10,R2,30.0362,25,18.36998,1.9,7.709830926,7.670734718,7.671824334,,2243.56535,2231.160965,2197.50817,2149.865278
6/23/22 16:23,EOS Center,2,11,R1,30.30004,25,18.51112,2.6,7.745921302,7.706032391,7.705552554,0.000678593,2251.74391,2209.98167,2204.856114,2158.358288
6/23/22 16:23,EOS Center,2,11,R2,30.30004,25,18.51112,2.6,7.744511334,7.705072716,7.705552554,,2168.21943,2209.98167,2204.856114,2158.358288
6/23/22 17:23,EOS Center,2,12,R1,30.40289,25,18.00607,3.4,7.71311881,7.673889067,7.674172029,0.000400168,2200.40824,2219.405305,2207.720487,2161.669029
6/23/22 17:23,EOS Center,2,12,R2,30.40289,25,18.00607,3.4,7.714053771,7.67445499,7.674172029,,2238.40237,2219.405305,2207.720487,2161.669029
7/7/22 9:16,EOS Center,3,13,R1,29.80839,25,17.58946,2.6,7.695966898,7.656827738,7.657412244,0.000826616,2216.95871,2235.655595,2191.163662,2142.532074
7/7/22 9:16,EOS Center,3,13,R2,29.80839,25,17.58946,2.6,7.697329918,7.65799675,7.657412244,,2254.35248,2235.655595,2191.163662,2142.532074
7/7/22 10:17,EOS Center,3,14,R1,29.33098,25,18.1429,2,7.728884743,7.689578077,7.690655897,0.001524268,2176.65591,2182.99896,2177.867793,2127.164246
7/7/22 10:17,EOS Center,3,14,R2,29.33098,25,18.1429,2,7.731254192,7.691733717,7.690655897,,2189.34201,2182.99896,2177.867793,2127.164246
7/7/22 11:17,EOS Center,3,15,R1,29.52083,25,18.2107,1.5,7.714763073,7.675486485,7.675957418,0.000666,2222.32688,2231.226895,2183.155116,2133.275518
7/7/22 11:17,EOS Center,3,15,R2,29.52083,25,18.2107,1.5,7.715715409,7.676428351,7.675957418,,2240.12691,2231.226895,2183.155116,2133.275518
