"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",63.883,-63.4,29.45,69,0.099977,1324,1.655,0,202,23.9,1.655,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.05,204.6,23.8,1.705,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.2,23.7,1.755,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.15,212.9,23.6,1.805,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.2,23.5,1.855,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.8,23.4,1.905,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.3,220.9,23.3,1.955,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.6,23.2,2.005,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.9,23.1,2.055,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.9,23,2.105,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.6,22.9,2.155,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.2,22.8,2.205,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.5,22.8,2.255,2252.32292644807,0.404591869738641
NA,NA,NA,NA,NA,NA,NA,NA,0.65,234,22.8,2.305,2252.32292644807,0.404591869738641
