"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",63.446,-64.9,30.15,70,0.099977,1325,1.65625,0,202.2,23.7,1.65625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.05,205.5,23.6,1.70625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209,23.5,1.75625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.4,23.4,1.80625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.1,23.2,1.85625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.25,218.6,23.1,1.90625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.1,23,1.95625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.1,22.9,2.00625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.2,22.8,2.05625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.2,22.7,2.10625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.5,228.4,22.6,2.15625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.55,230.3,22.5,2.20625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232,22.4,2.25625,2236.07901485556,0.402986332058344
NA,NA,NA,NA,NA,NA,NA,NA,0.65,233.2,22.3,2.30625,2236.07901485556,0.402986332058344
