"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",63.256,-58.2,33.494,68,0.099977,1215,1.51875,0,201.1,23.1,1.51875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.05,203.9,23.1,1.56875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.1,205.7,23.1,1.61875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.15,210.9,23.1,1.66875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.2,213.8,23,1.71875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.25,216.1,23,1.76875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.3,218.7,23,1.81875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.35,220.1,23,1.86875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.4,221.5,23,1.91875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.45,225.7,23,1.96875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.5,227.3,22.9,2.01875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.55,229.9,22.9,2.06875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.6,230.8,22.9,2.11875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.65,232.3,22.9,2.16875,2085.2015447182,0.400260506732072
NA,NA,NA,NA,NA,NA,NA,NA,0.7,233,22.9,2.21875,2085.2015447182,0.400260506732072
