Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,4/19/16 10:15, ,14.6,<0> (CND),42.03,<0> (CND),27,<0> (CND),99.7,<0> (CND),8.6,<0> (CND),2.16,<0> (CND),8,<0> (CND),3,<0> (CND)
sfbrbwq,4/19/16 10:30, ,14.7,0,41.99,0,27,0,102.1,0,8.8,0,2.15,0,8,0,3,0
sfbrbwq,4/19/16 10:45, ,14.7,0,41.96,0,27,0,104.8,0,9,0,2.13,0,8,0,4,0
sfbrbwq,4/19/16 11:00, ,14.8,0,41.92,0,26.9,0,106.7,0,9.2,0,2.1,0,8.1,0,3,0
sfbrbwq,4/19/16 11:15, ,14.8,0,41.9,0,26.9,0,110.6,0,9.5,0,2.07,0,8.1,0,4,0
sfbrbwq,4/19/16 11:30, ,14.9,0,41.86,0,26.9,0,115.7,0,9.9,0,2.01,0,8.1,0,4,0
sfbrbwq,4/19/16 11:45, ,14.9,0,41.82,0,26.9,0,122.3,0,10.5,0,1.95,0,8.2,0,4,0
sfbrbwq,4/19/16 12:00, ,15,0,41.78,0,26.8,0,127.1,0,10.9,0,1.91,0,8.2,0,4,0
sfbrbwq,4/19/16 12:15, ,15.1,0,41.76,0,26.8,0,132.7,0,11.3,0,1.84,0,8.2,0,5,0
sfbrbwq,4/19/16 12:30, ,15.2,0,41.71,0,26.8,0,143.6,0,12.2,0,1.77,0,8.3,0,5,0
sfbrbwq,4/19/16 12:45, ,15.4,0,41.58,0,26.7,0,140.1,0,11.9,0,1.69,0,8.2,0,4,0
sfbrbwq,4/19/16 13:00, ,15.7,0,41.41,0,26.6,0,140.8,0,11.9,0,1.62,0,8.3,0,4,0
sfbrbwq,4/19/16 13:15, ,15.9,0,41.39,0,26.6,0,139.4,0,11.7,0,1.53,0,8.3,0,5,0
sfbrbwq,4/19/16 13:30, ,16.2,0,41.32,0,26.5,0,138,0,11.5,0,1.45,0,8.2,0,6,0
sfbrbwq,4/19/16 13:45, ,16.5,0,41.21,0,26.5,0,138,0,11.5,0,1.37,0,8.3,0,6,0
sfbrbwq,4/19/16 14:00, ,16.5,0,41.21,0,26.5,0,140.8,0,11.7,0,1.3,0,8.3,0,6,0
sfbrbwq,4/19/16 14:15, ,16.8,0,41.17,0,26.4,0,138.1,0,11.4,0,1.24,0,8.3,0,7,0
sfbrbwq,4/19/16 14:30, ,17.3,0,41.05,0,26.3,0,135.8,0,11.1,0,1.2,0,8.3,0,7,0
sfbrbwq,4/19/16 14:45, ,17.8,0,41.14,0,26.4,0,135.5,0,11,0,1.17,0,8.3,0,8,0
sfbrbwq,4/19/16 15:00, ,18.1,0,41.17,0,26.4,0,136.2,0,11,0,1.12,0,8.3,0,16,0
sfbrbwq,4/19/16 15:15, ,18.1,0,41.21,0,26.5,0,140,0,11.3,0,1.04,0,8.4,0,13,0
sfbrbwq,4/19/16 15:30, ,18.3,0,41.22,0,26.5,0,141,0,11.3,0,0.99,0,8.4,0,11,0
sfbrbwq,4/19/16 15:45, ,18.4,0,41.24,0,26.5,0,141.7,0,11.4,0,0.97,0,8.4,0,25,0
sfbrbwq,4/19/16 16:00, ,18.4,0,41.28,0,26.5,0,132.2,0,10.6,0,1,0,8.3,0,20,0
sfbrbwq,4/19/16 16:15, ,18.5,0,41.26,0,26.5,0,127.9,0,10.2,0,1.03,0,8.3,0,17,0
sfbrbwq,4/19/16 16:30, ,18.5,0,41.26,0,26.5,0,127.2,0,10.2,0,1.03,0,8.3,0,19,0
sfbrbwq,4/19/16 16:45, ,18.5,0,41.24,0,26.5,0,125.1,0,10,0,1.04,0,8.3,0,23,0
sfbrbwq,4/19/16 17:00, ,18.5,0,41.23,0,26.5,0,121.2,0,9.7,0,1.11,0,8.2,0,34,0
sfbrbwq,4/19/16 17:15, ,18.5,0,41.23,0,26.5,0,118.9,0,9.5,0,1.15,0,8.2,0,43,0
sfbrbwq,4/19/16 17:30, ,18.3,0,41.24,0,26.5,0,120.5,0,9.7,0,1.21,0,8.2,0,20,0
sfbrbwq,4/19/16 17:45, ,18.1,0,41.25,0,26.5,0,123.8,0,10,0,1.26,0,8.2,0,22,0
sfbrbwq,4/19/16 18:00, ,18.1,0,41.26,0,26.5,0,122.6,0,9.9,0,1.32,0,8.2,0,31,0
sfbrbwq,4/19/16 18:15, ,18,0,41.25,0,26.5,0,122.1,0,9.9,0,1.37,0,8.2,0,37,0
