"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",63.515,-63.9,14.75,68,0.099977,1078,1.3475,0,201.2,23.6,1.3475,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.05,205.5,23.5,1.3975,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.1,209.6,23.4,1.4475,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.15,213.1,23.3,1.4975,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.2,216.2,23.3,1.5475,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.1,23.2,1.5975,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.3,221.3,23.1,1.6475,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.35,223.6,23.1,1.6975,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.4,225.8,23,1.7475,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.45,227.7,23,1.7975,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.5,23,1.8475,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.2,22.9,1.8975,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.6,232.7,22.9,1.9475,1774.57136828576,0.403461569714727
NA,NA,NA,NA,NA,NA,NA,NA,0.65,234.1,22.8,1.9975,1774.57136828576,0.403461569714727
