"Instructions:","m0","Initial pH","Salinity","TempLab","conc_HCl","Digits of HCl","P1HCl","P2HCl Additions","P2mV","P2Temp","corr_vHCl","TA","E0"
"Use the ""Alkalinity Analysis Log"" and the data obtained during a TALK titration by hand to fill in the GREEN boxes. Sample Mass = m0; Sample salinity = Salinity; Lab Temp = TempLab; [HCl] = conc_HCl; EP vHCL R2 = EPvHCl; Titration EQP [2] V (mL) = EQPvHCl; Titration EQP [2] Meas. Value (mV) = EQPmV; Titration EQP [2] Temp. (*C) = EQPmV; DO NOT TOUCH RED BOXES",64.931,-60.6,8.76,70,0.099977,1015,1.26875,0,202.5,23.7,1.26875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.05,206.9,23.7,1.31875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.1,210.8,23.6,1.36875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.15,214.2,23.6,1.41875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.2,217.2,23.6,1.46875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.25,219.8,23.6,1.51875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.3,222,23.5,1.56875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.35,224.3,23.5,1.61875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.4,226.4,23.5,1.66875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.45,228.2,23.4,1.71875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.5,229.9,23.4,1.76875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.55,231.5,23.3,1.81875,1587.08017960931,0.403587547581284
NA,NA,NA,NA,NA,NA,NA,NA,0.6,233.1,23.3,1.86875,1587.08017960931,0.403587547581284
